shieldcharacter,attackcharacter,movehitbox,charmovehitbox,shieldadvantage,shieldadvantageforcalculation,correctstartup,correctrow,randomrow1,randomrow2,randomrow3,totalnumberofchoices,correct,randomchoice1,randomchoice2,randomchoice3,choiceA,choiceB,choiceC,choiceD,correctindex,explanation,Column 1
Chrom,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,9,1,10,5,12,Dtilt,Ftilt/Dair,Jab,Up Tilt/Down Smash,Dtilt,Up Tilt/Down Smash,Jab,Ftilt/Dair,A,Move is -18 on shield. Dtilt comes out on frame 18.,1.1
Squirtle,Pyra,Dash Attack,Pyra Dash Attack,-18,18,16,7,1,10,2,10,Ftilt,Up B/Dair,Fair/Up Air,Shield Grab,Ftilt,Fair/Up Air,Shield Grab,Up B/Dair,A,Move is -18 on shield. Ftilt comes out on frame 16.,1.1
Ivysaur,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,6,9,2,8,9,Jab,Nair,Dtilt/Dash Attack,F Smash/Up Smash,Jab,F Smash/Up Smash,Nair,Dtilt/Dash Attack,A,Move is -18 on shield. Jab comes out on frame 18.,1.1
Charizard,Pyra,Dash Attack,Pyra Dash Attack,-18,18,15,6,9,3,8,11,Jab,Up Smash,Up B,Fair/Nair,Jab,Up B,Up Smash,Fair/Nair,A,Move is -18 on shield. Jab comes out on frame 15.,1.1
Palutena,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,7,10,11,1,11,Up Smash,Ftilt/Dtilt,Nair,Down Smash,Up Smash,Nair,Down Smash,Ftilt/Dtilt,A,Move is -18 on shield. Up Smash comes out on frame 18.,1.1
Duck Hunt,Pyra,Dash Attack,Pyra Dash Attack,-18,18,17,6,7,4,9,10,Dair/Dtilt,No Guaranteed Punish,Ftilt,Up Smash,Dair/Dtilt,Up Smash,Ftilt,No Guaranteed Punish,A,Move is -18 on shield. Dair/Dtilt comes out on frame 17.,1.1
Pyra,Pyra,Dash Attack,Pyra Dash Attack,-18,18,15,5,9,11,3,12,Up Smash,F Smash,Nair/Fair/Jab,Neutral B,F Smash,Nair/Fair/Jab,Neutral B,Up Smash,D,Move is -18 on shield. Up Smash comes out on frame 15.,1.1
Mythra,Pyra,Dash Attack,Pyra Dash Attack,-18,18,16,6,2,1,7,10,Dair/Dtilt,Up Tilt (Last Frame),Jab,Dash Attack/Neutral B,Jab,Dair/Dtilt,Dash Attack/Neutral B,Up Tilt (Last Frame),B,Move is -18 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mario,Pyra,F Smash,Pyra F Smash,-34,34,26,10,1,7,6,10,F Smash,Dash Attack,Ftilt/Up Tilt/Dtilt/Down Smash,Up B,Dash Attack,Ftilt/Up Tilt/Dtilt/Down Smash,F Smash,Up B,C,Move is -34 on shield. F Smash comes out on frame 26.,1.1
Donkey Kong,Pyra,F Smash,Pyra F Smash,-34,34,33,14,9,6,2,14,F Smash,Ftilt,Fair (Latest Hit),Shield Grab,Fair (Latest Hit),F Smash,Shield Grab,Ftilt,B,Move is -34 on shield. F Smash comes out on frame 33.,1.1
Link,Pyra,F Smash,Pyra F Smash,-34,34,31,11,8,4,3,11,Dash Attack,Ftilt,F Smash,No Guaranteed Punish,No Guaranteed Punish,F Smash,Dash Attack,Ftilt,C,Move is -34 on shield. Dash Attack comes out on frame 31.,1.1
Samus,Pyra,F Smash,Pyra F Smash,-34,34,29,11,1,3,4,11,Up Tilt (Latest Hit),Dtilt,Jab,Nair/Up Smash,Jab,Nair/Up Smash,Up Tilt (Latest Hit),Dtilt,C,Move is -34 on shield. Up Tilt (Latest Hit) comes out on frame 29.,1.1
Yoshi,Pyra,F Smash,Pyra F Smash,-34,34,25,10,7,3,2,10,F Smash,No Guaranteed Punish,Up Smash,Up Tilt/Dtilt/Dair,F Smash,Up Tilt/Dtilt/Dair,No Guaranteed Punish,Up Smash,A,Move is -34 on shield. F Smash comes out on frame 25.,1.1
Kirby,Pyra,F Smash,Pyra F Smash,-34,34,24,11,8,7,1,11,F Smash,Dash Attack,Up Smash,Nair/Up Air,Nair/Up Air,Up Smash,Dash Attack,F Smash,D,Move is -34 on shield. F Smash comes out on frame 24.,1.1
Fox,Pyra,F Smash,Pyra F Smash,-34,34,24,10,8,5,6,10,F Smash,Dtilt/Up Tilt (Latest Hit),Down Smash,No Guaranteed Punish,Dtilt/Up Tilt (Latest Hit),No Guaranteed Punish,Down Smash,F Smash,D,Move is -34 on shield. F Smash comes out on frame 24.,1.1
Pikachu,Pyra,F Smash,Pyra F Smash,-34,34,26,11,3,4,5,11,F Smash,Up Tilt (Latest Hit),Up Smash,Fair,Fair,F Smash,Up Tilt (Latest Hit),Up Smash,B,Move is -34 on shield. F Smash comes out on frame 26.,1.1
Luigi,Pyra,F Smash,Pyra F Smash,-34,34,33,11,1,6,8,11,Side B,Down Smash,Up B/Up Air,Nair,Down Smash,Up B/Up Air,Side B,Nair,C,Move is -34 on shield. Side B comes out on frame 33.,1.1
Ness,Pyra,F Smash,Pyra F Smash,-34,34,32,11,3,2,4,11,F Smash,Side B (Ground),No Guaranteed Punish,Up Tilt,Up Tilt,Side B (Ground),No Guaranteed Punish,F Smash,D,Move is -34 on shield. F Smash comes out on frame 32.,1.1
Captain Falcon,Pyra,F Smash,Pyra F Smash,-34,34,30,11,8,7,5,11,F Smash/Down Smash,Down B,Up Smash/Dtilt,Shield Grab/Nair/Up Air,Down B,Up Smash/Dtilt,F Smash/Down Smash,Shield Grab/Nair/Up Air,C,Move is -34 on shield. F Smash/Down Smash comes out on frame 30.,1.1
Jigglypuff,Pyra,F Smash,Pyra F Smash,-34,34,27,12,2,1,10,12,F Smash,No Guaranteed Punish,Up Air (Latest Hit),Jab/Dash Attack/Side B (Air),Jab/Dash Attack/Side B (Air),F Smash,No Guaranteed Punish,Up Air (Latest Hit),B,Move is -34 on shield. F Smash comes out on frame 27.,1.1
Min Min,Pyra,F Smash,Pyra F Smash,-34,34,27,10,7,3,4,10,F Smash,Jab,Dash Attack,Ram Ram Nair,F Smash,Jab,Ram Ram Nair,Dash Attack,A,Move is -34 on shield. F Smash comes out on frame 27.,1.1
Peach,Pyra,F Smash,Pyra F Smash,-34,34,26,12,7,5,1,12,F Smash,Dash Attack/Down Smash,Dair,Jab/Up Air,Jab/Up Air,F Smash,Dash Attack/Down Smash,Dair,B,Move is -34 on shield. F Smash comes out on frame 26.,1.1
Roy,Pyra,F Smash,Pyra F Smash,-34,34,24,12,4,9,8,12,Dash Attack/F Smash,Side B,Shield Grab,Up Air,Side B,Up Air,Shield Grab,Dash Attack/F Smash,D,Move is -34 on shield. Dash Attack/F Smash comes out on frame 24.,1.1
Chrom,Pyra,F Smash,Pyra F Smash,-34,34,24,12,7,8,10,12,Dash Attack/F Smash,Jab,Ftilt/Dair,Side B,Dash Attack/F Smash,Ftilt/Dair,Jab,Side B,A,Move is -34 on shield. Dash Attack/F Smash comes out on frame 24.,1.1
Squirtle,Pyra,F Smash,Pyra F Smash,-34,34,31,10,3,7,2,10,F Smash,Fair/Up Air,Shield Grab,Jab,Shield Grab,F Smash,Jab,Fair/Up Air,B,Move is -34 on shield. F Smash comes out on frame 31.,1.1
Ivysaur,Pyra,F Smash,Pyra F Smash,-34,34,26,9,4,5,2,9,F Smash/Up Smash,Dtilt/Dash Attack,Shield Grab/Fair,Dair,Dair,Dtilt/Dash Attack,Shield Grab/Fair,F Smash/Up Smash,D,Move is -34 on shield. F Smash/Up Smash comes out on frame 26.,1.1
Charizard,Pyra,F Smash,Pyra F Smash,-34,34,33,11,5,7,3,11,F Smash,Jab,Up Smash,Up B,Up Smash,Jab,F Smash,Up B,C,Move is -34 on shield. F Smash comes out on frame 33.,1.1
Palutena,Pyra,F Smash,Pyra F Smash,-34,34,29,11,2,4,3,11,F Smash,Fair,Dair,Nair,Fair,F Smash,Nair,Dair,B,Move is -34 on shield. F Smash comes out on frame 29.,1.1
Duck Hunt,Pyra,F Smash,Pyra F Smash,-34,34,28,10,4,3,6,10,Side B/F Smash,Jab,Down Smash,Ftilt,Ftilt,Down Smash,Jab,Side B/F Smash,D,Move is -34 on shield. Side B/F Smash comes out on frame 28.,1.1
Pyra,Pyra,F Smash,Pyra F Smash,-34,34,31,12,10,3,5,12,F Smash,No Guaranteed Punish,Ftilt/Down Smash,Side B,Ftilt/Down Smash,No Guaranteed Punish,F Smash,Side B,C,Move is -34 on shield. F Smash comes out on frame 31.,1.1
Mythra,Pyra,F Smash,Pyra F Smash,-34,34,25,10,1,4,8,10,F Smash,Dair/Dtilt,Dash Attack/Neutral B,Up B/Shield Grab,F Smash,Dash Attack/Neutral B,Dair/Dtilt,Up B/Shield Grab,A,Move is -34 on shield. F Smash comes out on frame 25.,1.1
Mario,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,26,10,1,6,7,10,F Smash,Jab,Shield Grab,Nair,F Smash,Jab,Shield Grab,Nair,A,Move is -47 on shield. F Smash comes out on frame 26.,1.1
Donkey Kong,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,33,14,2,9,4,14,F Smash,Nair,Dash Attack,Jab/Up Tilt,Nair,Dash Attack,F Smash,Jab/Up Tilt,C,Move is -47 on shield. F Smash comes out on frame 33.,1.1
Link,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,31,11,5,7,3,11,Dash Attack,Down Smash/Up Tilt (Latest Hit),Fair,Ftilt,Ftilt,Fair,Dash Attack,Down Smash/Up Tilt (Latest Hit),C,Move is -47 on shield. Dash Attack comes out on frame 31.,1.1
Samus,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,29,11,8,4,5,11,Up Tilt (Latest Hit),F Smash,Shield Grab/Dash Attack/Ftilt,Neutral B,Neutral B,Up Tilt (Latest Hit),F Smash,Shield Grab/Dash Attack/Ftilt,B,Move is -47 on shield. Up Tilt (Latest Hit) comes out on frame 29.,1.1
Yoshi,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,25,10,4,5,3,10,F Smash,Up Tilt/Dtilt/Dair,No Guaranteed Punish,Nair,F Smash,No Guaranteed Punish,Up Tilt/Dtilt/Dair,Nair,A,Move is -47 on shield. F Smash comes out on frame 25.,1.1
Kirby,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,24,11,5,7,2,11,F Smash,Up Tilt (Latest Hit)/Dair/Neutral B,Fair/Jab,Down Smash,Down Smash,Fair/Jab,F Smash,Up Tilt (Latest Hit)/Dair/Neutral B,C,Move is -47 on shield. F Smash comes out on frame 24.,1.1
Fox,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,24,10,2,8,1,10,F Smash,Nair,No Guaranteed Punish,Jab,Nair,Jab,F Smash,No Guaranteed Punish,C,Move is -47 on shield. F Smash comes out on frame 24.,1.1
Pikachu,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,26,11,1,9,3,11,F Smash,Jab,Shield Grab/Up Air (Latest Hit),Up Tilt (Latest Hit),Jab,F Smash,Shield Grab/Up Air (Latest Hit),Up Tilt (Latest Hit),B,Move is -47 on shield. F Smash comes out on frame 26.,1.1
Luigi,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,33,11,6,1,3,11,Side B,Dash Attack,Up Tilt/Dtilt/Ftilt,Nair,Side B,Dash Attack,Nair,Up Tilt/Dtilt/Ftilt,A,Move is -47 on shield. Side B comes out on frame 33.,1.1
Ness,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,32,11,1,9,6,11,F Smash,Dash Attack,Dair/Side B (Air),Up Smash/Shield Grab/Down B (Air),Dair/Side B (Air),Up Smash/Shield Grab/Down B (Air),Dash Attack,F Smash,D,Move is -47 on shield. F Smash comes out on frame 32.,1.1
Captain Falcon,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,30,11,3,7,1,11,F Smash/Down Smash,Dair,Up B (Air)/Fair,Side B (Earliest Hit),Up B (Air)/Fair,F Smash/Down Smash,Dair,Side B (Earliest Hit),B,Move is -47 on shield. F Smash/Down Smash comes out on frame 30.,1.1
Jigglypuff,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,27,12,2,8,6,12,F Smash,Up Air (Latest Hit),Jab/Dash Attack/Side B (Air),Up Smash (Latest Hit),Jab/Dash Attack/Side B (Air),Up Smash (Latest Hit),F Smash,Up Air (Latest Hit),C,Move is -47 on shield. F Smash comes out on frame 27.,1.1
Min Min,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,27,10,4,3,2,10,F Smash,No Guaranteed Punish,Up Smash,Jab,Up Smash,Jab,F Smash,No Guaranteed Punish,C,Move is -47 on shield. F Smash comes out on frame 27.,1.1
Peach,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,26,12,3,2,8,12,F Smash,No Guaranteed Punish,Dash Attack/Down Smash,Shield Grab,Dash Attack/Down Smash,F Smash,No Guaranteed Punish,Shield Grab,B,Move is -47 on shield. F Smash comes out on frame 26.,1.1
Roy,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,24,12,5,6,10,12,Dash Attack/F Smash,Up Tilt/Down Smash,Nair/Up B,No Guaranteed Punish,Dash Attack/F Smash,Nair/Up B,Up Tilt/Down Smash,No Guaranteed Punish,A,Move is -47 on shield. Dash Attack/F Smash comes out on frame 24.,1.1
Chrom,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,24,12,3,9,1,12,Dash Attack/F Smash,Fair/Up B,Up Smash,Side B,Dash Attack/F Smash,Fair/Up B,Up Smash,Side B,A,Move is -47 on shield. Dash Attack/F Smash comes out on frame 24.,1.1
Squirtle,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,31,10,2,5,6,10,F Smash,Jab,Ftilt,Down Smash,Down Smash,F Smash,Ftilt,Jab,B,Move is -47 on shield. F Smash comes out on frame 31.,1.1
Ivysaur,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,26,9,4,6,7,9,F Smash/Up Smash,Ftilt,Dtilt/Dash Attack,No Guaranteed Punish,Dtilt/Dash Attack,No Guaranteed Punish,Ftilt,F Smash/Up Smash,D,Move is -47 on shield. F Smash/Up Smash comes out on frame 26.,1.1
Charizard,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,33,11,1,8,5,11,F Smash,No Guaranteed Punish,Jab,Ftilt,No Guaranteed Punish,Jab,Ftilt,F Smash,D,Move is -47 on shield. F Smash comes out on frame 33.,1.1
Palutena,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,29,11,7,9,8,11,F Smash,Down Smash,Ftilt/Dtilt,Up Smash,Down Smash,Up Smash,Ftilt/Dtilt,F Smash,D,Move is -47 on shield. F Smash comes out on frame 29.,1.1
Duck Hunt,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,28,10,2,3,5,10,Side B/F Smash,Shield Grab/Fair,No Guaranteed Punish,Ftilt,Ftilt,Shield Grab/Fair,Side B/F Smash,No Guaranteed Punish,C,Move is -47 on shield. Side B/F Smash comes out on frame 28.,1.1
Pyra,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,31,12,3,2,6,12,F Smash,Dair/Dtilt,Up B,Ftilt/Down Smash,Ftilt/Down Smash,Up B,Dair/Dtilt,F Smash,D,Move is -47 on shield. F Smash comes out on frame 31.,1.1
Mythra,Pyra,Up Smash (1st Hit),Pyra Up Smash (1st Hit),-47,47,25,10,2,4,8,10,F Smash,Up B/Shield Grab,No Guaranteed Punish,Dair/Dtilt,No Guaranteed Punish,F Smash,Dair/Dtilt,Up B/Shield Grab,B,Move is -47 on shield. F Smash comes out on frame 25.,1.1
Mario,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,26,10,8,1,5,10,F Smash,Ftilt/Up Tilt/Dtilt/Down Smash,Shield Grab,No Guaranteed Punish,No Guaranteed Punish,Ftilt/Up Tilt/Dtilt/Down Smash,Shield Grab,F Smash,D,Move is -40 on shield. F Smash comes out on frame 26.,1.1
Donkey Kong,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,33,14,11,5,8,14,F Smash,Neutral B (Full Charge),Jab/Up Tilt,Down Smash,Down Smash,Neutral B (Full Charge),Jab/Up Tilt,F Smash,D,Move is -40 on shield. F Smash comes out on frame 33.,1.1
Link,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,31,11,6,4,2,11,Dash Attack,Down Smash/Up Tilt (Latest Hit),Up B,Jab,Jab,Up B,Dash Attack,Down Smash/Up Tilt (Latest Hit),C,Move is -40 on shield. Dash Attack comes out on frame 31.,1.1
Samus,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,29,11,6,1,8,11,Up Tilt (Latest Hit),No Guaranteed Punish,Nair/Up Smash,Down Smash,Up Tilt (Latest Hit),No Guaranteed Punish,Nair/Up Smash,Down Smash,A,Move is -40 on shield. Up Tilt (Latest Hit) comes out on frame 29.,1.1
Yoshi,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,25,10,4,3,5,10,F Smash,Dash Attack,Up Smash,No Guaranteed Punish,No Guaranteed Punish,Dash Attack,Up Smash,F Smash,D,Move is -40 on shield. F Smash comes out on frame 25.,1.1
Kirby,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,24,11,5,7,6,11,F Smash,Dash Attack,Nair/Up Air,No Guaranteed Punish,No Guaranteed Punish,Dash Attack,Nair/Up Air,F Smash,D,Move is -40 on shield. F Smash comes out on frame 24.,1.1
Fox,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,24,10,2,1,4,10,F Smash,Up Smash/Dair,Dtilt/Up Tilt (Latest Hit),Shield Grab/Fair,Dtilt/Up Tilt (Latest Hit),Up Smash/Dair,Shield Grab/Fair,F Smash,D,Move is -40 on shield. F Smash comes out on frame 24.,1.1
Pikachu,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,26,11,8,7,9,11,F Smash,Down Smash,Shield Grab/Up Air (Latest Hit),Fair,Fair,Down Smash,F Smash,Shield Grab/Up Air (Latest Hit),C,Move is -40 on shield. F Smash comes out on frame 26.,1.1
Luigi,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,33,11,6,8,1,11,Side B,Fair,F Smash,Shield Grab,Shield Grab,Fair,Side B,F Smash,C,Move is -40 on shield. Side B comes out on frame 33.,1.1
Ness,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,32,11,9,7,2,11,F Smash,Up Tilt,Dair/Side B (Air),Dash Attack,F Smash,Dair/Side B (Air),Up Tilt,Dash Attack,A,Move is -40 on shield. F Smash comes out on frame 32.,1.1
Captain Falcon,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,30,11,6,7,5,11,F Smash/Down Smash,Dash Attack/Ftilt,Up B (Ground)/Jab,Up B (Air)/Fair,Dash Attack/Ftilt,Up B (Ground)/Jab,Up B (Air)/Fair,F Smash/Down Smash,D,Move is -40 on shield. F Smash/Down Smash comes out on frame 30.,1.1
Jigglypuff,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,27,12,7,2,5,12,F Smash,Shield Grab/Dair,Up Smash (Latest Hit),Up Air (Latest Hit),F Smash,Up Air (Latest Hit),Up Smash (Latest Hit),Shield Grab/Dair,A,Move is -40 on shield. F Smash comes out on frame 27.,1.1
Min Min,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,27,10,3,5,4,10,F Smash,No Guaranteed Punish,Up Smash,Jab,No Guaranteed Punish,Up Smash,F Smash,Jab,C,Move is -40 on shield. F Smash comes out on frame 27.,1.1
Peach,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,26,12,7,9,5,12,F Smash,Shield Grab,Nair/Turnip Throw (Forward),Dash Attack/Down Smash,F Smash,Nair/Turnip Throw (Forward),Dash Attack/Down Smash,Shield Grab,A,Move is -40 on shield. F Smash comes out on frame 26.,1.1
Roy,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,24,12,2,10,7,12,Dash Attack/F Smash,Ftilt/Dair,Nair/Up B,Side B,Side B,Dash Attack/F Smash,Ftilt/Dair,Nair/Up B,B,Move is -40 on shield. Dash Attack/F Smash comes out on frame 24.,1.1
Chrom,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,24,12,1,8,7,12,Dash Attack/F Smash,Up Air,Fair/Up B,Shield Grab,Up Air,Fair/Up B,Shield Grab,Dash Attack/F Smash,D,Move is -40 on shield. Dash Attack/F Smash comes out on frame 24.,1.1
Squirtle,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,31,10,8,4,3,10,F Smash,Dtilt/Dash Attack/Up Smash,Up B/Dair,Fair/Up Air,Dtilt/Dash Attack/Up Smash,F Smash,Fair/Up Air,Up B/Dair,B,Move is -40 on shield. F Smash comes out on frame 31.,1.1
Ivysaur,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,26,9,4,2,1,9,F Smash/Up Smash,Shield Grab/Fair,Nair,Ftilt,Ftilt,Nair,Shield Grab/Fair,F Smash/Up Smash,D,Move is -40 on shield. F Smash/Up Smash comes out on frame 26.,1.1
Charizard,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,33,11,3,8,4,11,F Smash,Dair/Dash Attack,Jab,Dtilt/Up Tilt,Dair/Dash Attack,F Smash,Jab,Dtilt/Up Tilt,B,Move is -40 on shield. F Smash comes out on frame 33.,1.1
Palutena,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,29,11,1,5,3,11,F Smash,Jab/Up Tilt,Nair,No Guaranteed Punish,No Guaranteed Punish,Nair,F Smash,Jab/Up Tilt,C,Move is -40 on shield. F Smash comes out on frame 29.,1.1
Duck Hunt,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,28,10,6,1,5,10,Side B/F Smash,Jab,No Guaranteed Punish,Shield Grab/Fair,No Guaranteed Punish,Jab,Side B/F Smash,Shield Grab/Fair,C,Move is -40 on shield. Side B/F Smash comes out on frame 28.,1.1
Pyra,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,31,12,8,10,7,12,F Smash,Dash Attack,Up Tilt (Last Frame),No Guaranteed Punish,No Guaranteed Punish,Dash Attack,F Smash,Up Tilt (Last Frame),C,Move is -40 on shield. F Smash comes out on frame 31.,1.1
Mythra,Pyra,Up Smash (2nd Hit),Pyra Up Smash (2nd Hit),-40,40,25,10,4,3,5,10,F Smash,Jab,No Guaranteed Punish,Up B/Shield Grab,Up B/Shield Grab,No Guaranteed Punish,F Smash,Jab,C,Move is -40 on shield. F Smash comes out on frame 25.,1.1
Mario,Pyra,Down Smash (1st Hit Close),Pyra Down Smash (1st Hit Close),-26,26,26,10,5,2,8,10,F Smash,Ftilt/Up Tilt/Dtilt/Down Smash,Jab,Up Air,F Smash,Up Air,Ftilt/Up Tilt/Dtilt/Down Smash,Jab,A,Move is -26 on shield. F Smash comes out on frame 26.,1.1
Donkey Kong,Pyra,Down Smash (1st Hit Close),Pyra Down Smash (1st Hit Close),-26,26,26,11,13,2,9,14,Fair (Latest Hit),Dtilt/Dair,Nair,Shield Grab,Nair,Fair (Latest Hit),Shield Grab,Dtilt/Dair,B,Move is -26 on shield. Fair (Latest Hit) comes out on frame 26.,1.1
Link,Pyra,Down Smash (1st Hit Close),Pyra Down Smash (1st Hit Close),-26,26,26,9,1,3,5,11,Ftilt,Fair,Down Smash/Up Tilt (Latest Hit),Dash Attack,Ftilt,Fair,Down Smash/Up Tilt (Latest Hit),Dash Attack,A,Move is -26 on shield. Ftilt comes out on frame 26.,1.1
Samus,Pyra,Down Smash (1st Hit Close),Pyra Down Smash (1st Hit Close),-26,26,23,9,7,3,1,11,Dair (Meteor),Nair/Up Smash,Up B,F Smash,Up B,Nair/Up Smash,F Smash,Dair (Meteor),D,Move is -26 on shield. Dair (Meteor) comes out on frame 23.,1.1
Yoshi,Pyra,Down Smash (1st Hit Close),Pyra Down Smash (1st Hit Close),-26,26,25,10,6,8,5,10,F Smash,Fair (Latest Hit),Ftilt,Dash Attack,F Smash,Dash Attack,Fair (Latest Hit),Ftilt,A,Move is -26 on shield. F Smash comes out on frame 25.,1.1
Kirby,Pyra,Down Smash (1st Hit Close),Pyra Down Smash (1st Hit Close),-26,26,24,11,8,3,2,11,F Smash,Dash Attack,Fair/Jab,Up Tilt (Latest Hit)/Dair/Neutral B,Dash Attack,Fair/Jab,Up Tilt (Latest Hit)/Dair/Neutral B,F Smash,D,Move is -26 on shield. F Smash comes out on frame 24.,1.1
Fox,Pyra,Down Smash (1st Hit Close),Pyra Down Smash (1st Hit Close),-26,26,24,10,7,2,3,10,F Smash,Jab,Dtilt/Up Tilt (Latest Hit),Up Smash/Dair,Up Smash/Dair,Dtilt/Up Tilt (Latest Hit),F Smash,Jab,C,Move is -26 on shield. F Smash comes out on frame 24.,1.1
Pikachu,Pyra,Down Smash (1st Hit Close),Pyra Down Smash (1st Hit Close),-26,26,26,11,1,6,3,11,F Smash,Fair,Nair,Up Smash,Up Smash,Fair,F Smash,Nair,C,Move is -26 on shield. F Smash comes out on frame 26.,1.1
Luigi,Pyra,Down Smash (1st Hit Close),Pyra Down Smash (1st Hit Close),-26,26,23,10,11,7,8,11,F Smash,No Guaranteed Punish,Up Smash (Latest Hit)/Jab/Dair,Side B,Up Smash (Latest Hit)/Jab/Dair,F Smash,Side B,No Guaranteed Punish,B,Move is -26 on shield. F Smash comes out on frame 23.,1.1
Ness,Pyra,Down Smash (1st Hit Close),Pyra Down Smash (1st Hit Close),-26,26,21,9,4,11,10,11,Dair/Side B (Air),Ftilt,F Smash,Nair,Nair,Ftilt,F Smash,Dair/Side B (Air),D,Move is -26 on shield. Dair/Side B (Air) comes out on frame 21.,1.1
Captain Falcon,Pyra,Down Smash (1st Hit Close),Pyra Down Smash (1st Hit Close),-26,26,26,8,4,1,3,11,Side B (Earliest Hit),Shield Grab/Nair/Up Air,Up Smash/Dtilt,Up B (Air)/Fair,Up B (Air)/Fair,Shield Grab/Nair/Up Air,Up Smash/Dtilt,Side B (Earliest Hit),D,Move is -26 on shield. Side B (Earliest Hit) comes out on frame 26.,1.1
Jigglypuff,Pyra,Down Smash (1st Hit Close),Pyra Down Smash (1st Hit Close),-26,26,25,11,3,12,2,12,Down Smash,Down B (Air),No Guaranteed Punish,Ftilt,Down Smash,No Guaranteed Punish,Ftilt,Down B (Air),A,Move is -26 on shield. Down Smash comes out on frame 25.,1.1
Min Min,Pyra,Down Smash (1st Hit Close),Pyra Down Smash (1st Hit Close),-26,26,25,9,7,5,2,10,Ftilt,Dtilt,Ram Ram Nair,Dash Attack,Ftilt,Ram Ram Nair,Dash Attack,Dtilt,A,Move is -26 on shield. Ftilt comes out on frame 25.,1.1
Peach,Pyra,Down Smash (1st Hit Close),Pyra Down Smash (1st Hit Close),-26,26,26,12,8,6,10,12,F Smash,Dair,Nair/Turnip Throw (Forward),Shield Grab,Shield Grab,F Smash,Dair,Nair/Turnip Throw (Forward),B,Move is -26 on shield. F Smash comes out on frame 26.,1.1
